Id,Company,Symbol
552,Vertas Software Corp,VRTS
553,VF Corp,VFC
554,Viacom Inc.,VIA
555,Visteon Corp,VC
556,Vodafone Group,VOD
557,Vulcan Materials,VMC
558,Wachovia Corp,WB
559,Walgreen Company,WAG
560,Wal-Mart Stores Inc.,WMT
561,Washington Mutual Inc. ,WM
562,Waste Management,WMI
563,Watson Pharmaceuticals   ,WPI
564,Wellpoint Hlth Networks,WLP
565,Wells Fargo & Company,WFC
566,Wendy's Intl,WEN
567,Weyerhaeuser Co,WY
568,Whirlpool Corp,WHR
569,Williams Cos,WMB
570,Worthington Indus,WOR
571,"Wrigley, (Wm) Jr",WWY
572,Wrld Wrestling Fed. Ent. ,WWE
573,Xerox Corporation,XRX
574,Xilinx Inc.,XLNX
575,Yahoo Inc.,YHOO
576,Zygo Corp ,ZIGO
